rsid	ASTHMA_NAS	ASTHMA_CHILD_EXMORE	ASTHMA_INFECTIONS	ASTHMA_PNEUMONIA	ASTHMA_OPPORTUNIST_INFECTIONS	I9_HEARTFAIL_AND_CHD	I9_HEARTFAIL_AND_ANTIHYPERT	I9_CVD_HARD	COPD_INSUFFICIENCY	CARDIAC_ARRHYTM	THYROTOXICOSIS	SPONDYLOARTHRITIS	ANTIDEPRESSANTS	COPD_LATER	COPD_EARLY	COPD_OPPORTUNIST_INFECTIONS	T2D	T2D_WIDE	KELA_DIAB_INSUL_EXMORE	T1D	AUTOIMMUNE	RX_ANTIHYP	RX_PARACETAMOL_NSAID	RX_CROHN_2NDLINE	RX_CROHN_1STLINE	K11_REIMB_202	CHRONSMALL	CIRRHOSIS_BROAD	CHIRHEP_NAS	CD2_BENIGN_LEIOMYOMA_UTERI	CD2_BENIGN_MENINGES	CD2_BENIGN_MENINGES_CEREBRAL	C3_PROSTATE_EXALLC	C3_BREAST_ERPLUS_EXALLC	C3_BREAST_EXALLC	C3_BILIARY_GALLBLADDER_EXALLC	C3_BASAL_CELL_CARCINOMA_EXALLC	D3_ANAEMIA_IRONDEF	LUNG_TRANSPLANTATION	E4_GILBERT	E4_OBESITY	E4_OBESITYNAS	E4_NONTOXIC_THYROID	E4_GOITREMULTINOD	E4_THYTOXGOITMULT	E4_HYTHY_AI_STRICT	E4_THYROID	E4_METABONAS	E4_PLASMAPROT	HYPOTHY_REIMB	I9_ABAORTANEUR	I9_AORTANEUR	I9_HYPTENSESS	RX_STATIN	I9_CORATHER	I9_MI_STRICT	I9_CHD	I9_CABG	I9_ANGINA	I9_ANGIO	I9_REVASC	I9_HYPTENS	I9_ANEURYSM	I9_SAHANEUR	I9_INTRACRA	I9_UAP	I9_SAH	I9_CAVS_OPERATED	I9_IHD	I9_PULMEMB	I9_VTE	I9_VARICVE	I9_DISVEINLYMPH	I9_PHLETHROMBDVTLOW	I9_THROMBOTH	I9_PHLETHROM	I9_VEINSOTH	I9_POSTAMI	I9_ATHSCLE	PAIN	BLEEDING	SLEEP	HEIGHT_IRN	WEIGHT_IRN	BMI_IRN	SPONDYLOPATHY_FG	OTHER_SYSTCON_FG	RHEUMA_SEROPOS_OTH	RHEUMA_SEROPOS_STRICT	RHEUMA_SEROPOS_WIDE	RHEUMA_OTHER_WIDE	RHEU_ARTHRITIS_OTH	F5_DEPRESSION_RECURRENT	F5_DEPRESSION_DYSTHYMIA	F5_MOOD	F5_DEPRESSIO	F5_NEUROTICOTH	RX_N05C	FE_MODE	G6_CARPTU	G6_EPIPAROX	G6_SLEEPAPNO_INCLAVO	G6_SLEEPAPNO	G6_HCNP	G6_HYDROCEPH	G6_NERPLEX	H7_DIVERGSTRAB	H7_STRABOTH	H7_GLAUCOMA_POAG	H7_CATARACTOTHER	H7_CATARACTSENILE	H7_RETINALBREAK	H7_RETINALDETACH	H7_IRIDOCYC_ANTER	H7_IRIDOACUTE	H7_IRIDOCYCLITIS	H7_MACULADEGEN	H7_AMD	H7_CHOROIDRETINA	H7_RETINALDISOTH	H7_MODVISIMPBINOC	MACULA_NAS	WET_AMD	DRY_AMD	H7_BLINDANDVISIMPAIRMENT	H7_STENOLACRI	H8_OTOSCLE	H8_HL_SEN_NAS	J10_COPD	J10_LOWCHRON	J10_ASTHMACOPDKELA	J10_PLEURA	J10_PLEURPLAGUE	J10_ASTHMA_MAIN_EXMORE	J10_ASTHMA_EXMORE	J10_UPPERDIS	J10_BRONCHIECTASIS	J10_EMPHYSEMA	K11_K03_COMBINATION	ABDOM_HERNIA	K11_APPENDACUT	K11_UMBHER	K11_CHOLELITH	K11_HERNIA	K11_COELIAC	K11_OTHDIG	K11_KELAIBD	K11_CD_STRICT2	K11_IBD_STRICT	K11_HERING	K11_CHOLECYSTECTOMY	K11_FIBROCHIRLIV	L12_CELLULITIS	L12_PAPULOSQUAMOUS	L12_PSORI_VULG	PSORI_STRICT	L12_LICHENSCLERATROPH	L12_PSORI_NAS	L12_ERYTHRO_KELA	L12_PSORIASIS	L12_PSORI_GUTTATE	L12_DERMATITISNAS	M13_HALLUXVALGUS	M13_ARTHROSIS	M13_ARTHROPATHIES	M13_ARTHROSIS_KNEE	M13_ARTHROSIS_KNEE_PRIM_KNEESURG	M13_SJOGREN	M13_ANKYLOSPON	M13_SYSTCONNECT	M13_REACTARTH	M13_ANKYLOSPON_STRICT	M13_PSORIARTH	M13_RHEUMA	M13_DORSALGIA	M13_INTERVERTEB	M13_SPINSTENOSIS	M13_OSTEOPOROSIS	M13_DORSOPATHY	M13_ARTHTROSIS_COX_PRIM_ICD10	M13_DORSOPATHYOTH	M13_ARTHTROSIS_COX_PRIM_HIPSURG	M13_SPONDYLOSIS	M13_POLYARTHROPATHIES	M13_GANGLION	M13_ARTHROSIS_INCLAVO	M13_SPONDYLOPATHY	M13_HALLUXRIGIDUS	N14_ENDOMETRIOSIS	N14_ENDOMETRIOSIS_OVARY	N14_BREAST	N14_HYPERTROPHYBREAST	N14_HYPERTROPHYBREAST_BOTH	N14_URETHRAOTH	N14_CALCUKIDUR	ST19_FRACT_FOREA	O15_ICP_WIDE_EXMORE	O15_ICP_WIDE	O15_ICP_EXMORE	O15_PREG_MATERN_CARE	Z21_LUNG_TRANSPLANT_STATUS
rs4320727	NA	NA	NA	NA	NA	NA	0.0640479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0368713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0359253	0.0307418	NA	NA	NA	NA	NA	0.0379817	NA	NA	NA	NA	NA	NA	NA	NA	0.0401986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs71014329	NA	NA	NA	NA	NA	NA	0.0557964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0341622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0342855	NA	NA	NA	NA	NA	NA	NA	NA	0.0372872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73203255	NA	NA	NA	NA	NA	-0.11739	NA	-0.0507185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0814075	-0.120522	-0.100748	-0.158824	-0.0745124	-0.121602	-0.131554	NA	NA	NA	NA	NA	NA	NA	-0.0710194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9349379	NA	NA	NA	NA	NA	-0.122539	NA	-0.0708059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0251116	-0.108997	-0.136873	-0.11775	-0.187178	-0.0919434	-0.154255	-0.16183	NA	NA	NA	NA	-0.109052	NA	NA	-0.0884309	NA	NA	NA	NA	NA	NA	NA	NA	-0.132768	-0.0620011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0242653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4491174	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0379055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0831442	0.108976	NA	NA	0.157962	0.118521	0.093827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0783719	NA	NA	NA	NA	-0.0396476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0917433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0751713	-0.0595473	NA	NA	NA	NA	NA
rs11624776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0923317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.108749	0.122305	0.23017	-0.0523803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13213720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.101086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0781134	-0.177425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.182027	0.0883757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.120054	0.127118	0.115057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.324877	0.0618005	-0.085762	-0.166656	-0.0851802	NA	NA	NA	NA	-0.155148	-0.30204	-0.419292	-0.144258	-0.33603	-0.396216	-0.24028	-0.684118	NA	NA	NA	NA	NA	NA	0.159554	0.197168	0.0727866	0.143463	0.224042	-0.218817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10973207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0406792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0833537	0.0460075	0.0380609	0.0440098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs112779734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0329027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0585338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0518057	0.0639084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0344169	0.0109254	0.0159023	0.0117045	NA	NA	NA	NA	NA	NA	NA	0.0518362	0.0449019	0.0382771	0.0380411	NA	NA	NA	-0.0476488	0.0262754	0.0336672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs910187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0392058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.032922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs147908403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.121399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7:72912032_AAAAAAG_A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0544403	-0.0574791	-0.0515573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.267484	-0.264911	-0.270278	NA	NA
rs13246490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0535624	-0.0555296	-0.0503827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.258612	-0.255088	-0.261632	NA	NA
rs1957110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0360399	-0.0297756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0141583	-0.0172641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs41267082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.306523	0.0975539	NA	NA	0.211033	0.114873	0.209539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.137779	0.127323	NA	NA	0.206221	NA	NA	NA	-0.0737077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39967	0.463299	0.397509	0.264696	0.188404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.155489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0730054	NA	NA	NA	NA	NA	NA	NA	NA	0.333065	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.168226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs74821481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0361589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.177872	NA	NA	NA	0.0420141	0.0516062	NA	NA	NA	0.0375395	NA	NA	NA	NA	NA	NA	NA	-0.063428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2292750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0237182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0100813	-0.0111505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.060855	NA	NA	NA	NA	NA	-0.0633523	NA	-0.0517102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0590516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
